,Player,Year,Draft pick,Height (No Shoes),Height (With Shoes),Wingspan,Standing reach,Vertical (Max),Vertical (Max Reach),Vertical (No Step),Vertical (No Step Reach),Weight,Body Fat,Hand (Length),Hand (Width),Bench,Agility,Sprint
0,Blake Griffin,2009,1,80.5,82.0,83.25,105.0,35.5,140.5,32.0,137.0,248.0,8.2,,,22.0,10.95,3.28
1,Terrence Williams,2009,11,77.0,78.25,81.0,103.5,37.0,140.5,30.5,134.0,213.0,5.1,,,9.0,11.15,3.18
2,Gerald Henderson,2009,12,76.0,77.0,82.25,102.5,35.0,137.5,31.5,134.0,215.0,4.4,,,8.0,11.17,3.14
3,Tyler Hansbrough,2009,13,80.25,81.5,83.5,106.0,34.0,140.0,27.5,133.5,234.0,8.5,,,18.0,11.12,3.27
4,Earl Clark,2009,14,80.5,82.25,86.5,109.5,33.0,142.5,28.5,138.0,228.0,5.2,,,5.0,11.17,3.35
5,Austin Daye,2009,15,81.75,82.75,86.75,110.0,28.0,138.0,25.0,135.0,192.0,5.5,,,,12.11,3.55
6,James Johnson,2009,16,79.0,79.75,84.75,105.5,35.0,140.5,30.5,136.0,257.0,12.0,,,18.0,11.21,3.23
7,Jrue Holiday,2009,17,75.25,76.25,79.0,100.5,34.0,134.5,28.5,129.0,199.0,6.3,,,6.0,10.64,3.21
8,Ty Lawson,2009,18,71.25,72.5,72.75,94.5,36.5,131.0,29.0,123.5,197.0,6.6,,,14.0,10.98,3.12
9,Jeff Teague,2009,19,72.25,73.5,79.5,98.5,36.5,135.0,30.5,129.0,175.0,4.5,,,13.0,11.05,3.18
10,Hasheem Thabeet,2009,2,85.25,86.5,90.25,113.0,,,,,267.0,6.7,,,,,
11,Eric Maynor,2009,20,74.25,75.25,74.5,97.0,31.5,128.5,28.5,125.5,164.0,5.4,,,8.0,10.78,3.19
12,Darren Collison,2009,21,72.25,73.5,75.0,96.5,33.5,130.0,30.5,127.0,166.0,5.7,,,9.0,10.45,3.1
13,Omri Casspi,2009,23,79.75,81.25,81.25,106.5,32.5,139.0,25.5,132.0,211.0,8.6,,,2.0,11.15,3.28
14,Byron Mullens,2009,24,83.75,85.25,85.5,111.0,32.5,143.5,28.5,139.5,258.0,8.5,,,10.0,11.1,3.45
15,Damion James,2009,24,78.25,79.5,84.75,106.0,37.0,143.0,30.0,136.0,224.0,8.2,9.25,8.5,14.0,11.23,3.09
