Tabela,Data,Kurs średni,Zmiana
254/A/NBP/2015,2015-12-31,3.9394,0.58
253/A/NBP/2015,2015-12-30,3.9165,0.06
252/A/NBP/2015,2015-12-29,3.914,0.07
251/A/NBP/2015,2015-12-28,3.9114,-0.33
250/A/NBP/2015,2015-12-24,3.9242,-0.07
249/A/NBP/2015,2015-12-23,3.9271,0.28
248/A/NBP/2015,2015-12-22,3.9161,-0.48
247/A/NBP/2015,2015-12-21,3.9348,-0.97
246/A/NBP/2015,2015-12-18,3.9733,-0.21
245/A/NBP/2015,2015-12-17,3.9817,-0.53
244/A/NBP/2015,2015-12-16,4.0028,-0.48
243/A/NBP/2015,2015-12-15,4.0222,-0.16
242/A/NBP/2015,2015-12-14,4.0287,0.25
241/A/NBP/2015,2015-12-11,4.0186,0.26
240/A/NBP/2015,2015-12-10,4.0083,0.13
239/A/NBP/2015,2015-12-09,4.003,0.17
238/A/NBP/2015,2015-12-08,3.9963,0.46
237/A/NBP/2015,2015-12-07,3.9781,0.35
236/A/NBP/2015,2015-12-04,3.9643,0.46
235/A/NBP/2015,2015-12-03,3.9461,0.47
234/A/NBP/2015,2015-12-02,3.9278,0.38
233/A/NBP/2015,2015-12-01,3.9128,0.07
232/A/NBP/2015,2015-11-30,3.9099,-0.19
231/A/NBP/2015,2015-11-27,3.9172,-0.59
230/A/NBP/2015,2015-11-26,3.9404,-0.07
229/A/NBP/2015,2015-11-25,3.9431,0.34
228/A/NBP/2015,2015-11-24,3.9298,0.38
227/A/NBP/2015,2015-11-23,3.9151,0.02
226/A/NBP/2015,2015-11-20,3.9143,0.31
225/A/NBP/2015,2015-11-19,3.9023,-0.61
224/A/NBP/2015,2015-11-18,3.9264,-0.15
223/A/NBP/2015,2015-11-17,3.9324,-0.01
222/A/NBP/2015,2015-11-16,3.9328,0.2
221/A/NBP/2015,2015-11-13,3.9248,-0.04
220/A/NBP/2015,2015-11-12,3.9263,-0.44
219/A/NBP/2015,2015-11-10,3.9435,-0.07
218/A/NBP/2015,2015-11-09,3.9464,0.56
217/A/NBP/2015,2015-11-06,3.9246,0.47
216/A/NBP/2015,2015-11-05,3.9062,-0.44
215/A/NBP/2015,2015-11-04,3.9234,0.28
214/A/NBP/2015,2015-11-03,3.9126,0.17
213/A/NBP/2015,2015-11-02,3.906,-0.5
212/A/NBP/2015,2015-10-30,3.9255,-0.28
