,HA3,HA6,HA7,HF7,HF8_01,HF8_02,HF8_03,HF8_04,HF8_05,HF8_06,HF8_07,HF8_08,HF8_09,HF8_10,HF8_11,HF8_12,HF8_13,HF8_14,HF12,HF13,HF14,HF15,HF16,HF16L,HF18
45,M 500 TYS. +,PRACOWNIKÓW,PRACOWNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,22.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,11.0,POGORSZYŁA SIĘ
90,WIEŚ,PRACOWNIKÓW,7.0,POWYŻEJ MIESIĘCZNYCH - DO 3 MIESIĘCZNYCH DOCHODÓW,NIE,NIE,TAK,TAK,TAK,NIE,NIE,TAK,TAK,NIE,NIE,NIE,NIE,NIE,W ZŁOTYCH,20.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MNIEJ NIŻ 10 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
361,M 200-500 TYS.,PRACOWNIKÓW,RENCISTÓW,TRUDNO POWIEDZIEĆ,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,W ZŁOTYCH,10.0,POWYŻEJ ROCZNYCH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 30 I 40 PROC.,CO NAJMNIEJ ROK,5.0,NIE ZMIENIŁA SIĘ
504,M 200-500 TYS.,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,0.0,POWYŻEJ 3-MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,2.0,POGORSZYŁA SIĘ
584,WIEŚ,PRACOWNIKÓW,EMERYTÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,POPRAWIŁA SIĘ
604,M 20-100 TYS.,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,W ZŁOTYCH,10.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,20.0,NIE ZMIENIŁA SIĘ
695,M 100-200 TYS.,KILKA RÓWNIE WAŻNYCH ŹRÓDEŁ UTRZYMANIA GOSPODARSTWA,ROLNIKÓW,,,,,,,,,,,,,,,,W ZŁOTYCH,,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,15.0,POGORSZYŁA SIĘ
942,WIEŚ,RENCISTÓW,ROLNIKÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,NIE,NIE,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,10.0,,MIĘDZY 20 I 30 PROC.,CO NAJMNIEJ ROK,3.0,NIE ZMIENIŁA SIĘ
1191,WIEŚ,ROLNIKÓW,ROLNIKÓW,POWYŻEJ 3 MIESIĘCZNYCH - DO PÓŁROCZNYCH DOCHODÓW,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,TAK,NIE,TAK,TAK,NIE,NIE,WE FRANKACH SZWAJCARSKICH,30.0,POWYŻEJ 3 LETNICH DOCHODÓW GOSPODARSTWA DOMOWEGO,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,15.0,NIE ZMIENIŁA SIĘ
1466,M 100-200 TYS.,PRACOWNIKÓW,EMERYTÓW,DO WYSOKOŚCI MIESIĘCZNYCH DOCHODÓW GOSPODARSTWA,TAK,TAK,TAK,NIE,NIE,NIE,NIE,TAK,NIE,NIE,NIE,NIE,NIE,NIE,WE FRANKACH SZWAJCARSKICH,10.0,POWYŻEJ PÓŁROCZNYCH - DO ROCZNYCH DOCHODÓW GOSPODARSTWA,MIĘDZY 10 I 20 PROC.,CO NAJMNIEJ ROK,2.0,POGORSZYŁA SIĘ
